,STORE_NAME,REVIEW,TIME_밤에 방문,TIME_아침에 방문,TIME_저녁에 방문,TIME_점심에 방문,WAIT_encoded,HOW_예약 없이 이용,HOW_예약 후 이용,HOW_포장·배달 이용,PURPOSE_데이트,PURPOSE_회식,PURPOSE_여행,PURPOSE_일상,PURPOSE_비즈니스,PURPOSE_기념일,PURPOSE_나들이,PURPOSE_친목,PURPOSE_가족모임,WITH_WHOM_부모님,WITH_WHOM_아이,WITH_WHOM_지인・동료,WITH_WHOM_친구,WITH_WHOM_연인・배우자,WITH_WHOM_친척・형제,WITH_WHOM_기타,WITH_WHOM_혼자,가성비가 좋아요,건강한 맛이에요,고기 질이 좋아요,기본 안주가 좋아요,단체모임 하기 좋아요,대화하기 좋아요,디저트가 맛있어요,룸이 잘 되어있어요,매장이 넓어요,매장이 청결해요,메뉴 구성이 알차요,반찬이 잘 나와요,뷰가 좋아요,비싼 만큼 가치있어요,사진이 잘 나와요,샐러드바가 잘 되어있어요,선물하기 좋아요,술이 다양해요,아늑해요,아이와 가기 좋아요,야외공간이 멋져요,양이 많아요,오래 머무르기 좋아요,음료가 맛있어요,음식이 맛있어요,음식이 빨리 나와요,음악이 좋아요,인테리어가 멋져요,잡내가 적어요,재료가 신선해요,종류가 다양해요,좌석이 편해요,주문제작을 잘해줘요,주차하기 편해요,직접 잘 구워줘요,집중하기 좋아요,차분한 분위기에요,친절해요,커피가 맛있어요,컨셉이 독특해요,코스요리가 알차요,특별한 날 가기 좋아요,특별한 메뉴가 있어요,포장이 깔끔해요,향신료가 강하지 않아요,현지 맛에 가까워요,혼밥하기 좋아요,혼술하기 좋아요,화장실이 깨끗해요
21,1호스시,최애 초밥집...✨✨✨회가 진짜 촉촉하고 밥도 간이 너무 잘되서 맛있어요!! 사장님두 시원시원하시고 친절하시고 딱좋습니다..번창하세요~~!,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1호스시,"매장깔끔하고
맛도 깔끔하고
친절한 서비스 맛있게
잘 먹었어요
접기",False,False,True,False,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1호스시,"사장님 완전 친절하시고 초밥도 웬만한 초밥집보다 맛있어요
특히 점심특선 가성비가 👍🏻👍🏻👍🏻👍🏻👍🏻
근처 갔다가 우연히 들른 곳인데 집근처였으면 초밥먹고 싶을때마다 왔을거 같아요 ㅜㅜ
맛있게 잘먹었습니다
접기",False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1호스시,"길가다 우연히 들렀는데 점심특선 너무 맛있었어요☺️
잘 먹었습니다 ㅎㅎ",False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1호스시,직장 근처에 있어 가봄,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1호스시,2호도 생겨주세요,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1호스시,친절하시고 초밥 맛있어요,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1호스시,맛있고 친절,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1호스시,점심특선 강추!!,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1호스시,맛있어요,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
